FECHA,POSITIVOS,POSITIVOS_LI,POSITIVOS_LS
2020-03-02,1,NA,NA
2020-03-03,0,NA,NA
2020-03-04,9,NA,NA
2020-03-05,0,NA,NA
2020-03-06,0,NA,NA
2020-03-07,0,NA,NA
2020-03-08,1,NA,NA
2020-03-09,1,NA,NA
2020-03-10,0,NA,NA
2020-03-11,0,NA,NA
2020-03-12,0,NA,NA
2020-03-13,0,NA,NA
2020-03-14,8,NA,NA
2020-03-15,12,NA,NA
2020-03-16,17,NA,NA
2020-03-17,9,NA,NA
2020-03-18,3,NA,NA
2020-03-19,17,NA,NA
2020-03-20,36,NA,NA
2020-03-21,55,NA,NA
2020-03-22,59,NA,NA
2020-03-23,68,NA,NA
2020-03-24,72,NA,NA
2020-03-25,76,NA,NA
2020-03-26,88,NA,NA
2020-03-27,180,NA,NA
2020-03-28,143,NA,NA
2020-03-29,98,NA,NA
2020-03-30,85,NA,NA
2020-03-31,87,NA,NA
2020-04-01,58,NA,NA
2020-04-02,57,NA,NA
2020-04-03,38,NA,NA
2020-04-04,73,NA,NA
2020-04-05,69,NA,NA
2020-04-06,40,NA,NA
2020-04-07,28,NA,NA
2020-04-08,31,NA,NA
2020-04-09,70,NA,NA
2020-04-10,52,NA,NA
2020-04-11,34,NA,NA
2020-04-12,63,NA,NA
2020-04-13,24,NA,NA
2020-04-14,27,NA,NA
2020-04-15,13,NA,NA
2020-04-16,25,NA,NA
2020-04-17,24,NA,NA
2020-04-18,31,NA,NA
2020-04-19,24,NA,NA
2020-04-20,46,NA,NA
2020-04-21,33,NA,NA
2020-04-22,13,NA,NA
2020-04-23,16,NA,NA
2020-04-24,18,NA,NA
2020-04-25,26,NA,NA
2020-04-26,13,NA,NA
2020-04-27,15,NA,NA
2020-04-28,23,NA,NA
2020-04-29,10,NA,NA
2020-04-30,26,NA,NA
2020-05-01,26,NA,NA
2020-05-02,13,NA,NA
2020-05-03,13,NA,NA
2020-05-04,4,NA,NA
2020-05-05,2,NA,NA
2020-05-06,4,NA,NA
2020-05-07,4,NA,NA
2020-05-08,12,NA,NA
2020-05-09,16,NA,NA
2020-05-10,0,NA,NA
2020-05-11,3,NA,NA
2020-05-12,1,NA,NA
2020-05-13,5,NA,NA
2020-05-14,6,NA,NA
2020-05-15,2,NA,NA
2020-05-16,5,NA,NA
2020-05-17,2,NA,NA
2020-05-18,3,NA,NA
2020-05-19,3,NA,NA
2020-05-20,2,NA,NA
2020-05-21,4,NA,NA
2020-05-22,2,NA,NA
2020-05-23,5,NA,NA
2020-05-24,3,NA,NA
2020-05-25,2,NA,NA
2020-05-26,0,NA,NA
2020-05-27,4,NA,NA
2020-05-28,2,NA,NA
2020-05-29,7,NA,NA
2020-05-30,1,NA,NA
2020-05-31,3,NA,NA
2020-06-01,2,NA,NA
2020-06-02,0,NA,NA
2020-06-03,2,NA,NA
2020-06-04,2,NA,NA
2020-06-05,0,NA,NA
2020-06-06,4,NA,NA
2020-06-07,1,NA,NA
2020-06-08,0,NA,NA
2020-06-09,2,NA,NA
2020-06-10,1,NA,NA
2020-06-11,0,NA,NA
2020-06-12,3,NA,NA
2020-06-13,3,NA,NA
2020-06-14,2,NA,NA
2020-06-15,2,NA,NA
2020-06-16,0,NA,NA
2020-06-17,1,NA,NA
2020-06-18,2,NA,NA
2020-06-19,3,NA,NA
2020-06-20,0,NA,NA
2020-06-21,1,NA,NA
2020-06-22,1,NA,NA
2020-06-23,5,NA,NA
2020-06-24,0,NA,NA
2020-06-25,2,NA,NA
2020-06-26,0,NA,NA
2020-06-27,3,NA,NA
2020-06-28,2,NA,NA
2020-06-29,6,NA,NA
2020-06-30,0,NA,NA
2020-07-01,0,NA,NA
2020-07-02,1,NA,NA
2020-07-03,1,NA,NA
2020-07-04,0,NA,NA
2020-07-05,3,NA,NA
2020-07-06,1,NA,NA
2020-07-07,0,NA,NA
2020-07-08,0,NA,NA
2020-07-09,1,NA,NA
2020-07-10,0,NA,NA
2020-07-11,0,NA,NA
2020-07-12,2,NA,NA
2020-07-13,2,NA,NA
2020-07-14,2,NA,NA
2020-07-15,0,NA,NA
2020-07-16,3,NA,NA
2020-07-17,2,NA,NA
2020-07-18,1,NA,NA
2020-07-19,2,NA,NA
2020-07-20,8,NA,NA
2020-07-21,11,NA,NA
2020-07-22,2,NA,NA
2020-07-23,1,NA,NA
2020-07-24,4,NA,NA
2020-07-25,9,NA,NA
2020-07-26,6,NA,NA
2020-07-27,6,NA,NA
2020-07-28,5,NA,NA
2020-07-29,11,NA,NA
2020-07-30,1,NA,NA
2020-07-31,7,NA,NA
2020-08-01,14,NA,NA
2020-08-02,17,NA,NA
2020-08-03,24,NA,NA
2020-08-04,22,NA,NA
2020-08-05,35,NA,NA
2020-08-06,37,NA,NA
2020-08-07,19,NA,NA
2020-08-08,30,NA,NA
2020-08-09,32,NA,NA
2020-08-10,32,NA,NA
2020-08-11,29,NA,NA
2020-08-12,13,NA,NA
2020-08-13,65,NA,NA
2020-08-14,44,NA,NA
2020-08-15,61,NA,NA
2020-08-16,74,NA,NA
2020-08-17,60,NA,NA
2020-08-18,48,NA,NA
2020-08-19,19,NA,NA
2020-08-20,53,NA,NA
2020-08-21,49,NA,NA
2020-08-22,76,NA,NA
2020-08-23,91,NA,NA
2020-08-24,74,NA,NA
2020-08-25,37,NA,NA
2020-08-26,51,NA,NA
2020-08-27,82,NA,NA
2020-08-28,90,NA,NA
2020-08-29,92,NA,NA
2020-08-30,124,NA,NA
2020-08-31,113,NA,NA
2020-09-01,67,NA,NA
2020-09-02,62,NA,NA
2020-09-03,114,NA,NA
2020-09-04,102,NA,NA
2020-09-05,146,NA,NA
2020-09-06,119,NA,NA
2020-09-07,116,NA,NA
2020-09-08,60,NA,NA
2020-09-09,80,NA,NA
2020-09-10,109,NA,NA
2020-09-11,172,NA,NA
2020-09-12,151,NA,NA
2020-09-13,118,NA,NA
2020-09-14,122,NA,NA
2020-09-15,108,NA,NA
2020-09-16,78,NA,NA
2020-09-17,85,NA,NA
2020-09-18,122,NA,NA
2020-09-19,53,NA,NA
2020-09-20,127,NA,NA
2020-09-21,63,NA,NA
2020-09-22,67,NA,NA
2020-09-23,51,NA,NA
2020-09-24,67,NA,NA
2020-09-25,66,NA,NA
2020-09-26,69,NA,NA
2020-09-27,52,NA,NA
2020-09-28,55,NA,NA
2020-09-29,25,NA,NA
2020-09-30,73,NA,NA
2020-10-01,32,NA,NA
2020-10-02,44,NA,NA
2020-10-03,38,NA,NA
2020-10-04,64,NA,NA
2020-10-05,32,NA,NA
2020-10-06,61,NA,NA
2020-10-07,37,NA,NA
2020-10-08,44,NA,NA
2020-10-09,37,NA,NA
2020-10-10,30,NA,NA
2020-10-11,65,NA,NA
2020-10-12,70,NA,NA
2020-10-13,35,NA,NA
2020-10-14,45,NA,NA
2020-10-15,71,NA,NA
2020-10-16,58,NA,NA
2020-10-17,85,NA,NA
2020-10-18,100,NA,NA
2020-10-19,155,NA,NA
2020-10-20,48,NA,NA
2020-10-21,92,NA,NA
2020-10-22,157,NA,NA
2020-10-23,213,NA,NA
2020-10-24,114,NA,NA
2020-10-25,181,NA,NA
2020-10-26,174,NA,NA
2020-10-27,164,NA,NA
2020-10-28,132,NA,NA
2020-10-29,171,NA,NA
2020-10-30,198,NA,NA
2020-10-31,179,NA,NA
2020-11-01,166,NA,NA
2020-11-02,195,NA,NA
2020-11-03,146,NA,NA
2020-11-04,216,NA,NA
2020-11-05,236,NA,NA
2020-11-06,154,NA,NA
2020-11-07,308,NA,NA
2020-11-08,222,NA,NA
2020-11-09,180,NA,NA
2020-11-10,236,NA,NA
2020-11-11,221,NA,NA
2020-11-12,253,NA,NA
2020-11-13,258,NA,NA
2020-11-14,226,NA,NA
2020-11-15,204,NA,NA
2020-11-16,193,NA,NA
2020-11-17,130,NA,NA
2020-11-18,238,NA,NA
2020-11-19,276,NA,NA
2020-11-20,235,NA,NA
2020-11-21,163,NA,NA
2020-11-22,168,NA,NA
2020-11-23,151,NA,NA
2020-11-24,84,NA,NA
2020-11-25,134,NA,NA
2020-11-26,128,NA,NA
2020-11-27,119,NA,NA
2020-11-28,99,NA,NA
2020-11-29,128,NA,NA
2020-11-30,87,NA,NA
2020-12-01,89,NA,NA
2020-12-02,104,NA,NA
2020-12-03,198,NA,NA
2020-12-04,119,NA,NA
2020-12-05,151,NA,NA
2020-12-06,128,NA,NA
2020-12-07,128,NA,NA
2020-12-08,58,NA,NA
2020-12-09,73,NA,NA
2020-12-10,88,NA,NA
2020-12-11,43,NA,NA
2020-12-12,106,NA,NA
2020-12-13,75,NA,NA
2020-12-14,55,NA,NA
2020-12-15,81,NA,NA
2020-12-16,71,NA,NA
2020-12-17,84,NA,NA
2020-12-18,76,NA,NA
2020-12-19,75,NA,NA
2020-12-20,71,NA,NA
2020-12-21,32,NA,NA
2020-12-22,51,NA,NA
2020-12-23,62,NA,NA
2020-12-24,60,NA,NA
2020-12-25,74,NA,NA
2020-12-26,59,NA,NA
2020-12-27,67,NA,NA
2020-12-28,65,NA,NA
2020-12-29,73,NA,NA
2020-12-30,64,NA,NA
2020-12-31,112,NA,NA
2021-01-01,105,NA,NA
2021-01-02,42,NA,NA
2021-01-03,148,NA,NA
2021-01-04,107,NA,NA
2021-01-05,87,NA,NA
2021-01-06,123,NA,NA
2021-01-07,130,NA,NA
2021-01-08,141,NA,NA
2021-01-09,136,NA,NA
2021-01-10,112,NA,NA
2021-01-11,149,NA,NA
2021-01-12,118,NA,NA
2021-01-13,207,NA,NA
2021-01-14,127,NA,NA
2021-01-15,181,NA,NA
2021-01-16,136,NA,NA
2021-01-17,183,NA,NA
2021-01-18,149,NA,NA
2021-01-19,125,NA,NA
2021-01-20,118,NA,NA
2021-01-21,204,NA,NA
2021-01-22,206,NA,NA
2021-01-23,195,NA,NA
2021-01-24,196,NA,NA
2021-01-25,168,NA,NA
2021-01-26,97,NA,NA
2021-01-27,171,NA,NA
2021-01-28,128,NA,NA
2021-01-29,201,NA,NA
2021-01-30,151,NA,NA
2021-01-31,187,NA,NA
2021-02-01,122,NA,NA
2021-02-02,79,NA,NA
2021-02-03,139,NA,NA
2021-02-04,145,NA,NA
2021-02-05,113,NA,NA
2021-02-06,136,NA,NA
2021-02-07,86,NA,NA
2021-02-08,68,NA,NA
2021-02-09,58,NA,NA
2021-02-10,98,NA,NA
2021-02-11,95,NA,NA
2021-02-12,107,NA,NA
2021-02-13,60,NA,NA
2021-02-14,83,NA,NA
2021-02-15,13,NA,NA
2021-02-16,93,NA,NA
2021-02-17,100,NA,NA
2021-02-18,70,NA,NA
2021-02-19,52,NA,NA
2021-02-20,74,NA,NA
2021-02-21,75,NA,NA
2021-02-22,48,NA,NA
2021-02-23,47,NA,NA
2021-02-24,63,NA,NA
2021-02-25,56,NA,NA
2021-02-26,24493.085993023666,24427.378263250394,24558.793722796938
2021-02-27,24555.032784199993,24446.510076149843,24663.555492250143
2021-02-28,24617.81010553871,24465.896204013447,24769.72400706397
2021-03-01,24681.388753353902,24484.315666098108,24878.461840609696
2021-03-02,24745.740550840223,24501.60612095898,24989.874980721466
2021-03-03,24810.83831196496,24517.843051463755,25103.833572466163
2021-03-04,24876.65580662983,24533.163932494837,25220.147680764825
2021-03-05,24943.16772705771,24547.716811254846,25338.618642860572
2021-03-06,25010.34965536134,24561.643428441865,25459.055882280816
2021-03-07,25078.178032252395,24575.07384512585,25581.28221937894
2021-03-08,25146.630126850825,24588.125283133937,25705.134970567713
2021-03-09,25215.68400755577,24600.902552050982,25830.46546306056
2021-03-10,25285.318513940754,24613.499037884398,25957.13798999711
2021-03-11,25355.513229637105,24625.99783664386,26085.02862263035
